url,beds,city,date,size,type,baths,price,neighborhood,size_min_sqft,size_max_sqft,size_mean_sqft,listing_date,listing_age_days,property_group,beds_clean,baths_clean,neighborhood_bucket,price_per_sqft,flag_extreme_price_per_sqft
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-ramanayapeta-kakinada-3150-sq-ft-spid-X80181911,5,Kakinada,2025-01-19,3150 sqft,Villa,5,25000000.0,Ramanayapeta,3150.0,3150.0,3150.0,2025-01-19 00:00:00.000,31,Villa,5.0,5.0,Ramanayapeta,7936.507936507936,False
https://www.99acres.com/residential-land-plot-for-sale-in-rwa-sector-122-sector-122-noida-538-sq-yard-spid-C79242955,0,Noida,Yesterday,4843 sqft,Residential Land,0,90000000.0,Sector 122,4843.0,4843.0,4843.0,2025-02-18 00:00:00.000,1,Plot,,,Other,18583.52260995251,True
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-s-saamarth-twinland-koba-gandhinagar-8478-sq-ft-to-10573-sq-ft-npspid-G79358405,5,Gandhinagar,2025-02-19,8478-10573 sqft,5 BHK House,0,0.0,"Koba, Raysan",8478.0,10573.0,9525.5,2025-02-19 00:00:00.000,0,Independent House,5.0,,Other,0.0,False
https://www.99acres.com/ekarth-sarvam-koba-gandhinagar-npxid-r428573,4,Gandhinagar,2025-02-19,6750-7560 sqft,"4, 5 BHK Apartment",0,0.0,Koba,6750.0,7560.0,7155.0,2025-02-19 00:00:00.000,0,Apartment,4.0,,Other,0.0,False
https://www.99acres.com/green-field-crystal-gateway-sulur-coimbatore-npxid-r439016,2,Coimbatore,2025-02-19,Varies,"2, 3, 4 BHK Villa, Land",0,1240000.0,Sulur,,,,2025-02-19 00:00:00.000,0,Plot,2.0,,Sulur,,True
https://www.99acres.com/royal-kalpataru-ganapathy-coimbatore-npxid-r275677,4,Coimbatore,2025-02-19,Varies,"4, 5 BHK Villa",0,25100000.0,Ganapathy,,,,2025-02-19 00:00:00.000,0,Villa,4.0,,Other,,True
https://www.99acres.com/harish-bhairav-vellakinar-coimbatore-npxid-r398187,2,Coimbatore,2025-02-19,Varies,"2, 3 BHK Villa",0,1500000.0,Vellakinar,,,,2025-02-19 00:00:00.000,0,Villa,2.0,,Other,,True
https://www.99acres.com/rks-shivom-sulur-coimbatore-npxid-r409009,2,Coimbatore,2025-02-19,Varies,"2, 3 BHK Villa, Land",0,948000.0,Sulur,,,,2025-02-19 00:00:00.000,0,Plot,2.0,,Sulur,,True
https://www.99acres.com/trisquare-amber-gn-mills-coimbatore-npxid-r430125,3,Coimbatore,2025-02-19,Varies,"3, 4, 5 BHK Villa",0,23000000.0,GN Mills,,,,2025-02-19 00:00:00.000,0,Villa,3.0,,Other,,True
https://www.99acres.com/vsks-aira-singanallur-coimbatore-npxid-r397871,2,Coimbatore,2025-02-19,Varies,"2, 3, 4 BHK Apartment",0,880000.0,Singanallur,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,,Other,,True
https://www.99acres.com/golden-town-karamadai-coimbatore-npxid-r439297,0,Coimbatore,2025-02-19,Varies,Land,0,1859000.0,Karamadai,,,,2025-02-19 00:00:00.000,0,Plot,,,Other,,True
https://www.99acres.com/skm-indraprastha-residency-thudiyalur-coimbatore-npxid-r421314,3,Coimbatore,2025-02-19,Varies,"3, 4 BHK Villa",0,8232000.0,Thudiyalur,,,,2025-02-19 00:00:00.000,0,Villa,3.0,,Other,,True
https://www.99acres.com/vasishta-olympia-poranki-vijayawada-npxid-r423035,3,Vijayawada,2025-02-19,2800 - 4000 sqft,"3, 4 BHK Apartment",0,0.0,Poranki,2800.0,4000.0,3400.0,2025-02-19 00:00:00.000,0,Apartment,3.0,,Other,0.0,False
https://www.99acres.com/badris-jishnu-nivas-tadigadapa-vijayawada-npxid-r423265,2,Vijayawada,2025-02-19,1275 - 3141 sqft,"2, 3 BHK Apartment",0,0.0,Tadigadapa,1275.0,3141.0,2208.0,2025-02-19 00:00:00.000,0,Apartment,2.0,,Other,0.0,False
https://www.99acres.com/bricks-marvella-tellapur-hyderabad-npxid-r416504,2,Hyderabad,2025-02-19,Varies,"2, 3, 4 BHK Apartment",2,10000000.0,Tellapur,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Tellapur,,True
https://www.99acres.com/pranathis-kiara-tellapur-hyderabad-npxid-r405130,2,Hyderabad,2025-02-19,Varies,"2, 3 BHK Apartment",2,9305000.0,Tellapur,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Tellapur,,True
https://www.99acres.com/ananda-the-legacey-manikonda-hyderabad-npxid-r434519,2,Hyderabad,2025-02-19,Varies,"2, 3 BHK Apartment",2,9582000.0,Manikonda,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Other,,True
https://www.99acres.com/moonglade-apartments-kokapet-hyderabad-npxid-r438704,3,Hyderabad,2025-02-19,Varies,"3, 4 BHK Apartment",3,12600000.0,Kokapet,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,3.0,Other,,True
https://www.99acres.com/vajra-the-royal-park-bowrampet-hyderabad-npxid-r389235,2,Hyderabad,2025-02-19,Varies,"2, 3 BHK Apartment",2,6756000.0,Bowrampet,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Other,,True
