feature,importance_mean,importance_std
size_max_sqft,0.09996389949107343,0.03670253846374552
size_mean_sqft,0.0928564996006066,0.03773433599179169
size_min_sqft,0.08451328601529058,0.03812612040967229
city,0.0200745108145911,0.043207831792653244
beds_clean,0.01778247386590161,0.026387469846817144
neighborhood_bucket,0.0072638233346933034,0.008157436804465748
property_group,-0.009679184504707821,0.01855282158166755
listing_age_days,-0.011559226457671712,0.02289842240934903
baths_clean,-0.01265847222571892,0.01460242769054237
type,-0.016636777590909212,0.021851578342549333
