model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,fit_time_mean_sec,score_time_mean_sec,total_cv_runtime_sec
Random Forest,34504987.804467246,25796658.059737112,11815618.371375745,4614764.013973249,0.2054979090518363,0.1921575701034942,0.7208053588867187,0.1368168354034424,0.9595613999990746
Ridge Regression,39176148.991995655,22268053.379288428,16940186.31758524,6699841.942402253,-0.36020169691988735,0.6463672353878583,0.03413681983947754,0.017443180084228516,0.08303959999466315
Decision Tree,39667754.79354191,24002670.069171768,14732550.341165412,4861296.883076171,-0.19834919311624227,0.3769129824041215,0.031605768203735354,0.012400627136230469,0.07927240000572056
Lasso Regression,1046777649.5269139,2014065204.0506077,266622897.17263326,503730937.24348384,-11365.40084557242,22730.465524231826,0.0702596664428711,0.010801219940185547,0.14208560000406578
Linear Regression,1057010846.1957678,2029457085.120339,269992294.0781906,508375253.9810627,-11549.457405604948,23098.603690860808,0.0740231990814209,0.025049686431884766,0.13625350000802428
